smiles,drug,uniport
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P31644
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,Q16445
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P18505
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P47870
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P28472
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,O14764
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P78334
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,Q8N1C3
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,P18507
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,Q99928
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,O00591
CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,DB09166,Q9UN88
CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,DB01132,P37231
CCC1=NC(C2CC2)=C(N1CC1=CC2=C(OC(=C2Br)C2=CC=CC=C2NS(=O)(=O)C(F)(F)F)C=C1)C(N)=O,DB01347,P30556
CCC1=NC2=C(C)N=C(C)C=C2N1C1=CC=C(CCNC(=O)NS(=O)(=O)C2=CC=C(C)C=C2)C=C1,DB12836,P35408
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,DB09389,P18405
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,DB09389,P06401
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,DB01325,P00915
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,DB01325,P55011
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,DB01325,P00918
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,DB01325,P55017
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,DB01325,Q13621
CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,DB01193,P08588
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,P47869
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,P31644
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,P48169
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,P34903
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,Q16445
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,P14867
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,DB01154,Q14654
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,DB01154,P14867
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,DB01154,Q15842
CCCC[C@@](C)(CO)NC1=NC(N)=NC2=C1N=CC(F)=C2,DB16324,Q9NR97
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O,DB09211,P43116
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,DB04931,Q01726
CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,DB09300,P20309
CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,DB00716,Q9NS75
CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,DB00716,Q9Y271
CCCC1=CC(=O)NC(=S)N1,DB00550,P07202
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,P21554
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,P08908
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,O75762
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,Q7Z2W7
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,Q9Y2T6
CCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,DB11755,Q9Y5S1
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,DB00275,P30556
CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,DB00862,O76074
CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,DB00966,P30556
CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,DB00966,P37231
CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,DB00203,O76074
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,DB00177,P30556
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(=O)OC,DB08964,P43115
CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,DB00929,P34995
CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,DB00929,P43116
CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,DB00929,P43115
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,DB00917,P34995
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,DB00917,P43116
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,DB00917,P43115
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,DB00917,P35408
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,DB00770,P34995
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,DB00770,P43116
CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=CC(SC)=C(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(O)=O)C3=CC=C(O)C=C3)C=C2S(=O)(=O)N1,DB16261,Q12908
CCCCC1(CCCC)CS(=O)(=O)C2=CC=C(C=C2[C@H]([C@H]1O)C1=CC=C(OCC2=CC=C(C[N+]34CCN(CC3)CC4)C=C2)C=C1)N(C)C,DB16226,Q12908
CCCCC1=NC(C)=C(CC(=S)N(C)C)C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,DB09279,P30556
CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,DB00678,P30556
CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,DB00876,P30556
CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,DB01029,P30556
CCCCC1=NN(CC2=CN=C(C=C2)C2=CC=CC=C2C2=NNN=N2)C(CCCC)=N1,DB01342,P30556
CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1,DB09061,P21554
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC=C2OCCOC2=C1,DB09039,Q16739
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,DB11324,Q8NER1
CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,DB08868,Q9H228
CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,DB08868,P21453
CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,DB08868,Q99500
CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,DB13946,P10275
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,DB01083,P16233
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,DB01083,P07098
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00308,Q12809
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00308,Q02641
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00308,Q13936
CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1,DB13125,P40238
CCCCCCOC(=O)\N=C(\N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=NC=CC=C3)N2C)C=C1,DB06695,P00734
CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,DB00710,P14324
CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,DB00710,O95749
CCCCCNC(=N)N\N=C\C1=CNC2=C1C=C(OC)C=C2,DB01079,Q13639
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,DB01101,P04818
CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,DB01218,Q12809
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q12809
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q14524
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,O95069
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P08913
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q02641
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P18825
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q13936
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P35348
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P18089
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P35368
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P51787
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P25100
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P32418
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P48549
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q08289
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q13698
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,O00305
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,O60840
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P54284
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q01668
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q9UK17
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q14500
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,Q9UNX9
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P63252
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,DB04855,P48050
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,DB00419,Q16739
CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,DB01002,Q9Y5Y9
CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,DB00297,Q9Y5Y9
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,DB00887,Q9H2X9
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,DB00887,P55011
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,DB00887,Q13621
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,DB00887,Q9UP95
CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC,DB00892,Q9Y5Y9
CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1,DB00645,Q9Y5Y9
CCCCOC1=CC=C(CC(=O)NO)C=C1,DB13346,P23219
CCCCOC1=CC=C(CC(=O)NO)C=C1,DB13346,P35354
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,DB00527,Q9Y5Y9
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,DB00527,Q14524
CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,DB00775,P08514
CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,DB00775,P05106
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268,P35462
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268,P14416
CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1,DB05271,P21917
CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1,DB05271,P35462
CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1,DB05271,P14416
CCCN[C@H]1CCC2=C(C1)SC(N)=N2,DB00413,P21917
CCCN[C@H]1CCC2=C(C1)SC(N)=N2,DB00413,P35462
CCCN[C@H]1CCC2=C(C1)SC(N)=N2,DB00413,P14416
CCCN1C2=C(NC=N2)C(=O)NC1=O,DB00824,P29275
CCCN1C2=C(NC=N2)C(=O)NC1=O,DB00824,Q07343
CCCN1C2=C(NC=N2)C(=O)NC1=O,DB00824,P27815
CCCNC(=O)C1=C(N)C2=CC=CC(=C2N=N1)C1=C(F)C=CC=C1OC,DB13994,P47869
CCCNC(=O)C1=C(N)C2=CC=CC(=C2N=N1)C1=C(F)C=CC=C1OC,DB13994,P34903
CCCNC(C)C(=O)NC1=CC=CC=C1C,DB00750,Q14524
CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1,DB01182,Q12809
CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1,DB01182,Q14524
CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1,DB08932,P25101
CCCOC1=C(C=C(C=C1)S(=O)(=O)NCCC1CCCN1C)C1=NC(=O)C2=C(N1)C(CCC)=NN2C,DB06267,O76074
CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=N1,DB14973,P23458
CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C(F)C=C1,DB08881,P15056
CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=N1,DB08816,Q9H244
CCN(C)[C@@H](C)[C@H](O)C1=CC=CC=C1,DB11587,P07550
CCN(C1CCOCC1)C1=C(C)C(=CC(=C1)C1=CC=C(CN2CCOCC2)C=C1)C(=O)NCC1=C(C)C=C(C)NC1=O,DB12887,Q15910
CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,DB00494,P21964
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P20309
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P11229
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P08912
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P08173
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P35367
CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,DB00767,P08172
CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O,DB04846,P08588
CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O,DB04846,P07550
CCN(CC)C(C)C(=O)C1=CC=CC=C1,DB00937,P23975
CCN(CC)C(C)C(=O)C1=CC=CC=C1,DB00937,Q01959
CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=C(C=C(C(O)=C1)S(O)(=O)=O)S(O)(=O)=O,DB13967,P02768
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281,Q9Y5Y9
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281,Q14524
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281,Q15858
CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,DB09288,P23219
CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,DB09288,P21554
CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,DB09288,P35354
CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,DB09288,Q8NER1
CCN(CC)CC(C)OC(=O)[C@H]1CCCC[C@]1(O)C1CCCCC1,DB13581,P20309
CCN(CC)CC(C)OC(=O)[C@H]1CCCC[C@]1(O)C1CCCCC1,DB13581,P11229
CCN(CC)CC(C)OC(=O)[C@H]1CCCC[C@]1(O)C1CCCCC1,DB13581,P08912
CCN(CC)CC(C)OC(=O)[C@H]1CCCC[C@]1(O)C1CCCCC1,DB13581,P08173
CCN(CC)CC(C)OC(=O)[C@H]1CCCC[C@]1(O)C1CCCCC1,DB13581,P08172
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB01062,P20309
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB01062,P11229
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB01062,P08172
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P35916
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P17948
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P36888
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P09619
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P35968
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P10721
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P16234
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,DB01268,P07333
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P35462
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P14416
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P08908
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P28222
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P28221
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P28566
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P30939
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P28223
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P41595
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P28335
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P46098
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,O95264
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,Q8WXA8
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,Q70Z44
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,A5X5Y0
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,Q13639
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P50406
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P34969
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P35348
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P35368
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P25100
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P08913
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P18089
CCN(CC)CCNC(=O)C1=CC(=CC=C1OC)S(C)(=O)=O,DB13025,P18825
CCN(CC)CCNC(=O)C1=CC(Br)=C(N)C=C1OC,DB09018,P14416
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,DB01233,Q13639
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,DB01233,P11229
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,DB01233,P46098
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,DB01233,P14416
CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,DB04967,P11388
CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,DB04967,P11387
CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,DB04967,P27695
CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(CO)C=C1,DB14061,P08183
CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,DB00809,P11229
CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,DB00809,P08173
CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,DB00809,P08172
CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,DB01611,Q9NYK1
CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,DB01611,Q9NR96
CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,DB00869,P00915
CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,DB00869,P00918
CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,DB00869,P22748
CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,DB01194,P00918
CCN1C(=O)C(=CC2=C1C=C(NC)N=C2)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1,DB14840,P09619
CCN1C(=O)C(=CC2=C1C=C(NC)N=C2)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1,DB14840,P35968
CCN1C(=O)C(=CC2=C1C=C(NC)N=C2)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1,DB14840,P10721
